calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,General_category
113.0,2.8,1.7,11.0,83.0,0.0,3.0,0.0,0.175,0.492,0.195,0.045,120.0,26.0,0.0,0.0,0.0,0.0,0.31,0.044,0.8,0.0,0.0,0.0,0.0,113.0,0.022,0.11,13.0,0.015,100.0,182.0,2.1,0.36,3.4,0.116,0.121,0.254,0.031,0.703,0.072,0.092,0.0,0.204,0.329,0.266,0.084,0.162,0.325,0.183,0.152,0.047,0.162,0.225,18.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.734,0.0,0.0,11.0,0.0,0.9,0.0,0.0,74.1,animal food product
367.0,8.6,4.3,10.0,5356.0,24.1,31.0,15.0,2.27,0.326,0.283,0.16,117.0,34.0,0.0,2.0,0.0,10.0,0.51,0.086,1.4,0.0,0.26,0.26,0.4,139.0,0.154,3.94,34.0,0.311,188.0,235.0,6.1,1.06,8.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.57,2.4,24.73,0.0,0.0,0.0,0.0,0.0,0.0,8.63,4.29,3.881,0.454,10.0,0.0,14.59,0.0,0.0,4.43,animal food product
228.0,17.0,7.4,68.0,52.0,0.0,3.0,0.0,4.782,0.0,0.244,0.099,15.0,4.0,0.0,0.0,0.0,0.0,1.73,0.407,0.0,5.0,0.0,0.0,1.5,8.0,0.07,1.81,20.0,0.0,137.0,246.0,24.2,4.96,19.26,1.194,1.311,1.876,0.196,3.149,0.948,0.722,0.132,0.897,1.66,1.845,0.521,0.772,0.864,0.793,0.908,0.215,0.718,0.963,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.71,7.363,7.88,0.794,68.0,0.0,0.88,0.0,0.0,63.02,animal food product
560.0,45.0,5.9,0.0,1.0,0.0,51.0,0.0,1.3,0.52,0.16,0.87,516.0,26.0,10.0,305.0,0.0,2903.0,0.0,1.7,5.6,0.0,2.86,2.86,0.0,105.0,1.3,3.92,121.0,1.2,490.0,1025.0,7.0,2.2,20.16,0.973,2.134,1.884,0.292,4.3,1.009,0.512,0.0,0.917,1.604,1.138,0.36,1.092,0.938,1.283,0.684,0.251,0.509,1.249,27.17,10.6,7.66,0.24,0.0,0.32,0.0,0.17,6.87,45.32,5.907,23.257,14.38,0.0,0.0,2.99,0.0,0.0,4.37,animal food product
118.0,4.2,1.4,42.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,6.0,0.0,0.6,20.0,0.0,0.0,542.0,0.0,1.3,17.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,4.16,1.41,1.83,0.6,42.0,0.0,2.69,0.0,0.0,73.53,animal food product
158.0,6.0,1.8,105.0,201.0,90.3,8.0,0.0,6.827,1.015,0.335,0.056,18.0,5.0,0.0,0.0,0.0,0.0,1.65,0.435,0.0,10.0,0.07,0.07,0.0,16.0,0.128,1.07,24.0,0.017,208.0,227.0,31.4,3.4,26.1,1.411,1.478,2.087,0.246,3.54,1.114,0.708,0.0,0.748,1.809,2.154,0.682,0.842,1.41,1.034,0.948,0.278,0.775,0.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.807,2.061,1.662,105.0,0.0,1.24,0.0,0.0,66.85,animal food product
33.0,0.7,0.0,0.0,15.0,38.4,16.0,0.0,0.575,0.218,0.106,0.04,7600.0,380.0,68.0,4513.0,26.0,6197.0,0.0,0.128,18.2,0.0,0.88,0.88,406.6,141.0,0.051,1.13,21.0,0.51,32.0,117.0,0.5,0.23,2.71,0.09,0.108,0.161,0.022,0.176,0.081,0.04,0.0,0.086,0.13,0.101,0.028,0.075,0.09,0.067,0.074,0.027,0.056,0.104,5.65,4.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.047,0.026,0.173,0.0,0.0,0.73,0.0,0.0,90.18,animal food product
25.0,0.8,0.2,0.0,324.0,0.0,10.0,0.0,0.94,0.045,0.165,0.059,4385.0,219.0,0.0,0.0,0.0,0.0,0.0,0.088,32.5,0.0,0.0,0.0,0.0,102.0,0.143,3.64,57.0,0.385,55.0,491.0,0.9,0.22,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.197,0.245,0.127,0.0,0.0,1.67,0.0,0.0,91.88,animal food product
332.0,4.1,0.6,0.0,446.0,15.5,15.0,0.0,3.2,0.0,0.15,0.31,113.0,6.0,33.0,51.0,0.0,512.0,0.0,0.03,0.0,0.0,44.22,44.22,2.4,29.0,0.201,3.0,79.0,0.0,171.0,269.0,19.2,1.39,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,17.9,20.29,0.0,0.0,0.0,0.0,0.0,0.0,4.09,0.6,1.1,1.5,0.0,0.0,3.59,0.0,0.0,2.5,animal food product
105.0,2.4,0.5,61.0,194.0,52.6,7.0,0.0,8.69,0.822,0.175,0.041,27.0,8.0,0.0,0.0,0.0,0.0,1.05,0.672,0.0,7.0,0.08,0.08,0.0,14.0,0.068,0.64,24.0,0.008,223.0,237.0,22.6,1.7,20.87,1.128,1.181,1.668,0.197,2.83,0.89,0.566,0.122,0.598,1.446,1.722,0.546,0.673,1.127,0.827,0.758,0.222,0.62,0.667,0.14,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,2.39,0.535,0.736,0.63,61.0,0.0,1.35,0.0,0.0,76.25,animal food product
